date,ndvi,Year,Month
10 April 2013,0.272650972,2013,04
17 April 2013,0.238958804,2013,04
03 May 2013,0.239520032,2013,05
24 September 2013,0.237746649,2013,09
11 November 2013,0.600282719,2013,11
06 December 2013,0.426536682,2013,12
13 December 2013,0.540276324,2013,12
29 December 2013,0.377277924,2013,12
03 March 2014,0.37996099,2014,03
19 March 2014,0.309200139,2014,03
04 April 2014,0.354996839,2014,04
06 May 2014,0.324657181,2014,05
15 May 2014,0.358977697,2014,05
22 May 2014,0.293675422,2014,05
27 September 2014,0.259392134,2014,09
29 October 2014,0.659737712,2014,10
30 November 2014,0.566294107,2014,11
02 February 2015,0.352437066,2015,02
06 March 2015,0.331772518,2015,03
22 March 2015,0.328694537,2015,03
07 April 2015,0.297653923,2015,04
23 April 2015,0.110298384,2015,04
09 May 2015,0.255213574,2015,05
25 May 2015,0.276368619,2015,05
10 June 2015,0.271619539,2015,06
30 September 2015,0.227069163,2015,09
01 November 2015,0.645112786,2015,11
19 December 2015,0.512246489,2015,12
04 January 2016,0.30351162,2016,01
05 February 2016,0.289937858,2016,02
08 March 2016,0.292840476,2016,03
24 March 2016,0.290131423,2016,03
09 April 2016,0.257665697,2016,04
25 April 2016,0.257991568,2016,04
27 May 2016,0.243961799,2016,05
12 June 2016,0.234517814,2016,06
16 September 2016,0.267378102,2016,09
02 October 2016,0.699797111,2016,10
18 October 2016,0.688713697,2016,10
03 November 2016,0.656313126,2016,11
19 November 2016,0.565057935,2016,11
21 December 2016,0.440392468,2016,12
22 January 2017,0.356762143,2017,01
07 February 2017,0.336696621,2017,02
23 February 2017,0.323359606,2017,02
27 March 2017,0.313016994,2017,03
12 April 2017,0.289105144,2017,04
28 April 2017,0.284760315,2017,04
14 May 2017,0.277151599,2017,05
06 November 2017,0.291866638,2017,11
22 November 2017,0.5641825,2017,11
08 December 2017,0.470660188,2017,12
24 December 2017,0.389410315,2017,12
25 January 2018,0.401206573,2018,01
26 February 2018,0.342099096,2018,02
14 March 2018,0.324881365,2018,03
30 March 2018,0.311764241,2018,03
15 April 2018,0.290982042,2018,04
17 May 2018,0.295048455,2018,05
18 June 2018,0.297980572,2018,06
08 October 2018,0.364382766,2018,10
24 October 2018,0.609814656,2018,10
09 November 2018,0.586166679,2018,11
25 November 2018,0.498147827,2018,11
11 December 2018,0.426531342,2018,12
27 December 2018,0.371590642,2018,12
12 January 2019,0.376336101,2019,01
13 February 2019,0.332665172,2019,02
01 March 2019,0.317264502,2019,03
17 March 2019,0.330939763,2019,03
02 April 2019,0.302051786,2019,04
20 May 2019,0.286725439,2019,05
23 July 2019,0.314425011,2019,07
12 November 2019,0.544244553,2019,11
28 November 2019,0.600392717,2019,11
31 January 2020,0.522712018,2020,01
16 February 2020,0.403018133,2020,02
19 March 2020,0.378062858,2020,03
04 April 2020,0.422828376,2020,04
06 May 2020,0.403309432,2020,05
22 May 2020,0.500367258,2020,05
13 October 2020,0.528545717,2020,10
29 October 2020,0.690022349,2020,10
14 November 2020,0.571512985,2020,11
30 November 2020,0.464032986,2020,11
16 December 2020,0.408142131,2020,12
01 January 2021,0.424447861,2021,01
02 February 2021,0.363087068,2021,02
18 February 2021,0.337789568,2021,02
06 March 2021,0.319404479,2021,03
22 March 2021,0.305468167,2021,03
07 April 2021,0.294563072,2021,04
23 April 2021,0.270837891,2021,04
01 November 2021,0.294518377,2021,11
17 November 2021,0.637599316,2021,11
03 December 2021,0.546195563,2021,12
19 December 2021,0.46724878,2021,12
